iter	MultiClass
0	0.901032729
1	0.7902585935
2	0.7113416101
3	0.6444270165
4	0.5973852105
5	0.5625212904
6	0.5304883652
7	0.5055586186
8	0.4907226514
9	0.4690408767
10	0.4532853328
11	0.436162569
12	0.4186783258
13	0.4062010902
14	0.3945521976
15	0.3833890773
16	0.3732578853
17	0.3629643047
18	0.3519962887
19	0.340900907
20	0.3308230782
21	0.3234398222
22	0.316640431
23	0.3069739686
24	0.3007423178
25	0.2957793687
26	0.2885796352
27	0.2820405684
28	0.2748569866
29	0.2716695323
30	0.2648808792
31	0.257202772
32	0.2504680433
33	0.2434709452
34	0.2343853467
35	0.2269018601
36	0.2222415831
37	0.2151742602
38	0.2098288825
39	0.2053378249
40	0.1995102833
41	0.193635482
42	0.1884208572
43	0.1840180995
44	0.1794747369
45	0.1762457903
46	0.1726476663
47	0.1683347632
48	0.1654597899
49	0.1632544186
50	0.1591216712
51	0.1553422612
52	0.1527502486
53	0.1497342832
54	0.147582351
55	0.1443335331
56	0.1418503331
57	0.1390090616
58	0.1363384145
59	0.1347608929
60	0.1315031335
61	0.1286178732
62	0.1258970313
63	0.1238999714
64	0.1215183499
65	0.1185876328
66	0.1162661936
67	0.1140600715
68	0.1117822714
69	0.1096169509
70	0.108174809
71	0.1061044999
72	0.1044191833
73	0.1028983401
74	0.1005558302
75	0.09850523643
76	0.09699045269
77	0.0962345838
78	0.0942890801
79	0.09249307107
80	0.09131291419
81	0.09014814073
82	0.08913687149
83	0.08776380227
84	0.08643978307
85	0.08492436893
86	0.08350908602
87	0.08205511901
88	0.08100472686
89	0.08024244479
90	0.07914124382
91	0.07771153062
92	0.07605049802
93	0.07502772961
94	0.0740582878
95	0.07316905713
96	0.07220059555
97	0.07119327736
98	0.07039345208
99	0.06894907964
100	0.06819187588
101	0.06754081669
102	0.0666334364
103	0.06604440642
104	0.06528421794
105	0.06453885015
106	0.06363964039
107	0.06278707137
108	0.06197862847
109	0.06127103005
110	0.0604053948
111	0.05972898104
112	0.05897469773
113	0.05816781433
114	0.05760580707
115	0.05685382331
116	0.05601987262
117	0.05532752084
118	0.05455753946
119	0.05385465434
120	0.05318630016
121	0.05259637143
122	0.05187961161
123	0.05116899918
124	0.05065219147
