Model,Accuracy,F1-Score,AUC-ROC
Random Forest,0.8333333333333334,0.8323279883842133,0.9474120530565168
XGBoost,0.8333333333333334,0.8318975903934201,0.9426542675893886
CatBoost,0.8186274509803921,0.818501392219494,0.9553777393310265
LightGBM,0.8186274509803921,0.817909140180116,0.9405637254901961
Logistic Regression,0.8137254901960784,0.81257492179478,0.9273356401384083
KNN,0.75,0.7520976115303661,0.8911115916955017
Decision Tree,0.7254901960784313,0.7236374678039593,0.8308643310265285
SVM (RBF),0.3872549019607843,0.32933321932937165,0.4886822376009227
