Model,Accuracy,Precision,Recall (Sensitivity),F1-Score,AUC-ROC,Specificity,Sensitivity,MCC,Brier Score
Random Forest,0.8333333333333334,0.8326899433689426,0.8333333333333334,0.8327960517158411,0.9469434832756632,0.9166666666666666,0.8333333333333334,0.7501893017499992,0.08697101522870361
XGBoost,0.8284313725490197,0.8279629060879061,0.8284313725490197,0.8273920623090267,0.9405637254901961,0.9142156862745098,0.8284313725490197,0.7433976949853717,0.09343054968784383
Logistic Regression,0.8137254901960784,0.8128694136156822,0.8137254901960784,0.8129026269377146,0.9309039792387542,0.9068627450980392,0.8137254901960785,0.720926118667077,0.09444854603797495
KNN,0.7450980392156863,0.7636210143515811,0.7450980392156863,0.7478285644401977,0.8962478373702424,0.8725490196078431,0.7450980392156863,0.6237700197755315,0.12166255990105147
Decision Tree,0.696078431372549,0.6971892841458059,0.696078431372549,0.6965537277118059,0.8123558246828143,0.8480392156862745,0.6960784313725489,0.544176492854384,0.1728008918987096
SVM (RBF),0.3872549019607843,0.4396976090014064,0.3872549019607843,0.32933321932937165,0.48857410611303337,0.693627450980392,0.3872549019607843,0.10789154237168547,0.22262245739464476
