Model,Accuracy,F1-Score,AUC-ROC
Random Forest (Optimized),0.8333333333333334,0.8337589981512545,0.9464028258362168
CatBoost (Optimized),0.8284313725490197,0.8283549783549784,0.948457324106113
XGBoost (Optimized),0.8088235294117647,0.8076635601336042,0.9413927335640138
LightGBM (Optimized),0.8088235294117647,0.8063129283806997,0.9320573817762399
